,,Degree,,,,,,Master,,,,,,,Doctor Degree,,,,,,Atuação Profissional,,,,Acacia (cons. em 18/7/24),,,,,,,,,
Surname,Name,CourseG,InstitutionG,StartG,EndG,2nd CourseG,2nd Institution,CourseM,InstitutionM,AdvisorM,StartM,EndM,2nd CourseM,2nd InstitutionM,CourseD,CountryD,InstitutionD,AdvisorD,StartD,EndD,InstitutionP,StartP,EndP,2nd InstitutionP,Ds,IG,OBS,entries_sian,BR_DFANBSB_N8_ou_V8_entries_50_79,,,,,
Lucena,Carlos José Pereira de,Economia Matemática,PUC-Rio,1962,1965,,,Comp. Sc. and Applied Sciences,Univ. of Waterloo,Donald D. Cowan,1967,1969,,,Eng. and Applied Sciences,US,UCLA,Gerald Estrin,1972,1974,PUC-Rio,1965,-,,1630,14,,1,adm.,,,,,
Staa,Arndt von,Eng. Mecânica,PUC-Rio,1961,1965,,,Informática,PUC-Rio,Antonio Cesar Olinto de Oliveira,1967,1969,,,Comp. Sc.,CA,Univ. of Waterloo,Morven Gentleman,1971,1974,PUC-Rio,1967,2018,,1466,8,,0,,,,,,
Oliveira,Antonio Cesar Olinto de,Eng. Elétrica,PUC-Rio,1955,1959,,,,,,,,,,Física,US,MIT,Kerson Huang,1960,1965,PUC-Rio,1965,1971,"CBPF, LNCC e outras",1467,1,,1,adm.,,,,,
Furtado,Antonio Luz,Economia,UERJ,1961,1964,Direito,UFRJ,Informática,PUC-Rio,Antonio Cesar Olinto de Oliveira,1968,1969,Administração,FGV,Comp. Sc.,CA,Univ. of Toronto,C.C. Gotlieb,1972,1974,PUC-Rio,1968,-,,468,3,,0,,,,,,
Schwabe,Daniel,Matemática,PUC-Rio,1972,1975,,,Informática,PUC-Rio,Carlos José Pereira de Lucena,1975,1976,,,Comp. Sc.,US,UCLA,Daniel M Berry,1976,1981,PUC-Rio,1981,-,,208,6,,0,,,,,,
Silva,Raphael Chrisóstomo Barbosa da,,,,,,,Informática,PUC-Rio,Antonio Cesar Olinto de Oliveira,,1969,,,,,,,,,,,,,,,,0,,,,,,
Carvalho,Roberto Lins de,Eng. de Telecomunicações,IME,1963,1967,,,Informática,PUC-Rio,Carlos José Pereira de Lucena,1967,1969,,,Informática,CA,Univ. of Toronto,Stephen Cook,1970,1974,LNCC,2001,,,3711,14,no cat. da bib. puc consta data e orientador distintos do Lattes,0,,,,,,
Casanova,Marco Antonio,Eng. Eletrônica,IME,1970,1974,,,Informática,PUC-Rio,Roberto Lins de Carvalho,1975,1976,Applied Mathematics,Univ. of Harvard,Applied Mathematics,US,Univ. of Harvard,Philip Bernstein,1976,1979,PUC-Rio,1980,-,,472,6,,0,,,,,,
Souza,Clarisse Sieckenius de,Bach. Tradutor-Intérprete,PUC-Rio,1975,1979,,,Língua Portuguesa,PUC-Rio,Mariza do Nascimento Silva Pimenta Bueno,1980,1982,,,Lingüística Aplicada,BR,PUC-Rio,Margarida Maria de Paula Basílio,1983,1987,PUC-Rio,1988,2020,,287,7,,0,,,,,,
Mendes,Sueli Bandeira Teixeira,Filosofia,UFRJ,1958,1961,,,Informática,PUC-Rio,Roberto Lins de Carvalho,1969,1970,,,Mathematical Logic,US,Stanford Univ.,Patrick Suppes,1967,1973,UFRJ,1978,1995,PUC-Rio,1208,8,aparece com nome Sueli Mendes dos Santos (na PUC rio e na UFRJ até 1981), ver bio semish 1976 e CV Lattes em http://lattes.cnpq.br/6950275463743445,4,dossie (não aproveitamento como técnica/analista por suspeita de ser comunista), part. ass. profissionais do serpro, pedido de busca (CISA), enquadrados na legislação revolucionaria,"como Sueli Mendes dos Santos: BR DFANBSB V8.MIC, GNC.AAA.78113826 - Dossiê"
Castro,Ilka Dias de,Matemática,UFF,1960,1963,,,Matemática,UFF,Jorge E. F. Barbosa,1967,1973,,,Informática,BR,PUC-Rio,Roberto Lins de Carvalho,1981,1984,UFF,1965,1998,,1,0,,0,,,,,,
Chaves,Therezinha da Costa Ferreira,,,,,,,Informática,PUC-Rio,Peter Albrecht,,1971,,,,,,,,,,,,,1,0,,0,,,,,,
Passos,Emmanuel Piseces Lopes,,UFRJ,1965,1968,,,Informática,PUC-Rio,Antonio Luz Furtado,1970,1971,,,Engenharia de Sistemas e Computação,BR,UFRJ,Roberto Lins de Carvalho,1977,1981,IME,1978,1996,,118,2,lattes menciona 2 orientadores de mestrado: Antonio Luz Furtado e Roberto Lins de Carvalho,0,,,,,,
Carvalho,Sergio Eduardo Rodrigues,,,,,,,Informática,PUC-Rio,Arndt von Staa,,1969,,,,,,,,,,,,,,,,0,,,,,,
Quintella,Heitor Luiz Murat de Meirelles,Licenciatura em Física,PUC-Rio,1964,1966,,,Informática,PUC-Rio,Roberto Lins de Carvalho,,1970,,,Engenharia de Sistemas e Computação,BR,UFRJ,James Ridley Hemsley,1979,1981,,,,,94,1,,0,,,,,,
Cunha,Luiz Ferrara de Almeida,,,,,,,Informática,PUC-Rio,Carlos José Pereira de Lucena,,1971,,,,,,,,,,,,,201,1,,0,,,,,,
Millan,Marília Rosa,Bacharelado em Matemática,UFRJ,,,,,Informática,PUC-Rio, Roberto Lins de Carvalho,,1971,,,,,,,,,,,,,1,0,,1,adm.,criação APPD-RJ,,,,
Santos,Vitoriano Ruas de Barros,Eng. Civil,PUC-Rio,1965,1969,,,Informática,PUC-Rio,Peter Albrecht,1970,1971,,,Matemática Aplicada,FR,Université Pierre et Marie Curie,Roland Glowinski,1972,1976,PUC-Rio,1970,,,248,3,,0,,,,,,
Martins,Raul César Baptista,Eng. de Comunicações,IME,1968,1972,,,Eng. Elétrica,IME,Jorge Muniz Barreto,1972,1974,,,Informática,BR,PUC-Rio,Carlos José Pereira de Lucena,1979,1984,PUC-Rio,1979,,IBM,3,0,,0,,,,,,
